TICK 1,TICK 2,TRADES #,GROWTH W ALGO %,GROWTH WO ALGO %,GROWTH DIFF,PROFIT,INITIAL BUY,COEFFICIENT
,,"=SUBTOTAL(1,C5:C130000)","=SUBTOTAL(1,D5:D130000)","=SUBTOTAL(1,E5:E130000)","=SUBTOTAL(1,F5:F130000)","=SUBTOTAL(1,G5:G130000)","=SUBTOTAL(1,H5:H130000)","=SUBTOTAL(1,I5:I130000)"


AOS,CE,1,4.813587234581582,4.813587234581582,0.0,3.5890105245848076,74.55999755859375,0.7353383458646616
AOS,CERN,2,12.310454039607192,11.446692133246508,0.8637619063606845,9.178674231382928,74.55999755859375,0.8225563909774435
AOS,CF,1,2.4572730471475532,2.4572730471475532,0.0,1.8321427239611978,74.55999755859375,0.6977443609022556
AOS,CFG,3,3.8028036236816924,2.031068708957533,1.7717349147241594,2.8353702889751844,74.55999755859375,0.7293233082706766
AOS,CHD,1,9.333759984864331,9.333759984864331,0.0,6.959251216839846,74.55999755859375,0.6992481203007518
AOS,CHRW,1,6.64831787358531,6.64831787358531,0.0,4.956985644232759,74.55999755859375,0.42556390977443603
AOS,CHTR,1,8.11382234491999,8.11382234491999,0.0,6.049665742280979,74.55999755859375,0.7624060150375939
AOS,CI,5,11.775961621476402,7.512295507687369,4.263666113789032,8.780156697473743,74.55999755859375,0.8421052631578947
AOS,CINF,1,2.961985138217538,2.961985138217538,0.0,2.2084560467409062,74.55999755859375,0.7999999999999999
AOS,CL,1,8.970630030426923,8.970630030426923,0.0,6.688501531676792,74.55999755859375,0.8330827067669173
AOS,CLX,1,8.0205305730003,8.0205305730003,0.0,5.980107399415289,74.55999755859375,0.009022556390977442
AOS,CMA,5,5.321169107116663,-0.3505046840553721,5.671673791172036,3.9674635563548293,74.55999755859375,0.7293233082706766
AOS,CMCSA,1,2.2806404901031176,2.2806404901031176,0.0,1.700445493741185,74.55999755859375,0.7293233082706766
AOS,CME,1,4.206188548300813,4.206188548300813,0.0,3.136134078922936,74.55999755859375,0.7819548872180451
AOS,CMG,2,21.05875195081704,18.73928413377306,2.3194678170439786,15.701404940399499,74.55999755859375,0.5383458646616541
AOS,CMI,1,7.0441586694606775,7.0441586694606775,0.0,5.252124531973351,74.55999755859375,0.7383458646616541
AOS,CMS,3,7.3316212466256765,5.184909530151089,2.146711716474588,5.466456622489446,74.55999755859375,0.8601503759398496
AOS,CNC,2,9.364730971371396,12.547740206918446,-3.1830092355470505,6.982343183623385,74.55999755859375,0.8138398469480826
AOS,CNP,1,4.8329516418426355,4.8329516418426355,0.0,3.6034486261658856,74.55999755859375,0.7032719564662268
AOS,COF,5,3.1196780330703975,-1.3794307458093669,4.499108778879764,2.326031865293274,74.55999755859375,0.7413533834586465
AOS,COG,1,12.560613140304854,12.560613140304854,0.0,9.365192850755705,74.55999755859375,0.044377588696799336
AOS,COO,1,4.622425694980438,4.622425694980438,0.0,3.4464804853252247,74.55999755859375,0.819548872180451
AOS,COP,3,14.247489444037452,9.537938957451813,4.7095504865856395,10.622927781635227,74.55999755859375,0.6616541353383457
AOS,COST,1,5.4060865547621155,5.4060865547621155,0.0,4.030778003246098,74.55999755859375,0.613533834586466
AOS,CPB,1,11.137249750316444,11.137249750316444,0.0,8.303933141930429,74.55999755859375,0.6571428571428571
AOS,CPRT,1,0.6018402359679942,0.6018402359679942,0.0,0.44873206524437137,74.55999755859375,0.7022556390977444
AOS,CRM,1,2.1925766654873438,2.1925766654873438,0.0,1.6347851082576597,74.55999755859375,0.6105263157894737
AOS,CSCO,1,4.446652762196376,4.446652762196376,0.0,3.3154241909327595,74.55999755859375,0.543813502165863
AOS,CSX,1,5.6409084275565275,5.6409084275565275,0.0,4.205861185868656,74.55999755859375,0.6917293233082705
AOS,CTAS,1,4.941121352412136,4.941121352412136,0.0,3.6840999597256427,74.55999755859375,0.8075187969924811
AOS,CTLT,1,11.315148902125783,11.315148902125783,0.0,8.43657474517623,74.55999755859375,0.5909774436090225
AOS,CTSH,1,6.005463638131644,6.005463638131644,0.0,4.477673541973189,74.55999755859375,0.7533834586466165
AOS,CTVA,1,5.775013818694847,5.775013818694847,0.0,4.30585016222733,74.55999755859375,0.6375939849624059
AOS,CTXS,1,4.525805897062339,4.525805897062339,0.0,3.374440766356372,74.55999755859375,-0.38646616541353385
AOS,CVS,3,7.138907637059996,5.711967668362919,1.4269399686970772,5.322769359902196,74.55999755859375,0.8345864661654135
AOS,CVX,4,11.075051653762046,9.98639838579316,1.0886532679688852,8.257558242657979,74.55999755859375,0.8045112781954886
AOS,D,1,6.250549694658897,6.250549694658897,0.0,4.660409699736363,74.55999755859375,0.8150375939849623
AOS,DAL,2,-18.97482382571636,-11.377351352434474,-7.597472473281886,-14.147628181201583,74.55999755859375,0.7338345864661654
AOS,DD,2,10.467044885548495,10.467044885548495,0.0,7.804228411121869,74.55999755859375,0.7383458646616541
AOS,DE,3,3.93002455848862,2.4534691329019656,1.4765554255866546,2.93022621486125,74.55999755859375,0.8165413533834586
AOS,DFS,4,-1.5269527281122701,-5.094172689259959,3.5672199611476887,-1.1384959168013893,74.55999755859375,0.7518796992481201
AOS,DG,4,16.760977364759327,15.967683114363261,0.793294250396066,12.496984313961008,74.55999755859375,0.8105263157894737
AOS,DGX,2,10.294765384964464,9.73486846808208,0.5598969168823835,7.675776819692459,74.55999755859375,0.8390977443609022
AOS,DHI,1,3.0506454897432183,3.0506454897432183,0.0,2.274561202673894,74.55999755859375,0.7022556390977444
AOS,DHR,1,11.094701005771919,11.094701005771919,0.0,8.272208799036818,74.55999755859375,0.8030075187969924
AOS,DIS,1,1.0961402648023708,1.0961402648023708,0.0,0.8172821546754108,74.55999755859375,0.6827067669172932
AOS,DISCA,1,1.8752204719492516,1.8752204719492516,0.0,1.3981643381036122,74.55999755859375,0.7518796992481201
AOS,DISCK,1,2.7652379910024214,2.7652379910024214,0.0,2.0617613785807123,74.55999755859375,0.764949283129575
AOS,DISH,1,4.419716081274703,4.419716081274703,0.0,3.2953402022951934,74.55999755859375,0.6556390977443608
AOS,DLR,1,8.533161141450194,8.533161141450194,0.0,6.362324738736135,74.55999755859375,0.47518796992481205
